73,DGW,CTCP Thế Giới Số,Bán buôn hàng lâu bền,HOSE,,,,
74,DHA,CTCP Hóa An,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
75,DHC,CTCP Đông Hải Bến Tre,Sản xuất giấy,HOSE,,,,
76,DHG,CTCP Dược Hậu Giang,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
77,DHM,CTCP Thương mại và Khai thác Khoáng sản Dương Hiếu,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
78,DIC,CTCP Đầu tư và Thương mại DIC,Bán buôn hàng lâu bền,HOSE,,,,
79,DIG,Tổng Công ty cổ phần Đầu tư Phát triển Xây dựng,Phát triển bất động sản,HOSE,,,,
80,DLG,CTCP Tập đoàn Đức Long Gia Lai,"Sản xuất các sản phẩm điện tử, vi tính",HOSE,,,,
81,DMC,CTCP Xuất nhập khẩu Y Tế Domesco,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
82,DPG,CTCP Đạt Phương,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
83,DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí - CTCP,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
84,DPR,CTCP Cao su Đồng Phú,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
85,DQC,CTCP Bóng đèn Điện Quang,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
86,DRC,CTCP Cao su Đà Nẵng,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
87,DRH,CTCP DRH Holdings,Bất động sản,HOSE,,,,
88,DRL,CTCP Thủy điện - Điện Lực 3,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
89,DSN,CTCP Công viên nước Đầm Sen,"Công nghiệp giải trí, đánh bạc và tiêu khiển",HOSE,,,,
90,DTA,CTCP Đệ Tam,Phát triển bất động sản,HOSE,,,,
91,DTL,CTCP Đại Thiên Lộc,Sản xuất các sản phẩm kim loại cơ bản,HOSE,,,,
92,DTT,CTCP Kỹ nghệ Đô Thành,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
93,DVP,CTCP Đầu tư và Phát triển Cảng Đình Vũ,Hỗ trợ vận tải,HOSE,,,,
94,DXG,CTCP Tập đoàn Đất Xanh,Phát triển bất động sản,HOSE,,,,
95,DXV,CTCP VICEM Vật liệu Xây dựng Đà Nẵng,Bán buôn hàng lâu bền,HOSE,,,,
96,E1VFVN30,Quỹ ETF VFMVN30,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,,,,
97,EIB,Ngân hàng TMCP Xuất nhập khẩu Việt Nam,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
98,ELC,CTCP Đầu tư Phát triển Công nghệ Điện tử - Viễn thông,Viễn thông,HOSE,,,,
99,EMC,CTCP Cơ điện Thủ Đức,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
100,EVE,CTCP Everpia,Sản xuất các sản phẩm may mặc,HOSE,,,,
101,EVG,CTCP Tập đoàn EverLand,Phát triển bất động sản,HOSE,,,,
102,FCM,CTCP Khoáng sản FECON,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
103,FCN,CTCP FECON,Nhà thầu chuyên môn,HOSE,,,,
104,FDC,CTCP Ngoại thương và Phát triển Đầu tư Thành phố Hồ Chí Minh,Bất động sản,HOSE,,,,
105,FIR,CTCP Địa ốc First Real,Phát triển bất động sản,HOSE,,,,
106,FIT,CTCP Tập đoàn F.I.T,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
107,FLC,CTCP Tập đoàn FLC,Phát triển bất động sản,HOSE,,,,
108,FMC,CTCP Thực phẩm Sao Ta,Sản xuất thực phẩm,HOSE,,,,
109,FPT,CTCP FPT,Công nghiệp xuất bản - Ngoại trừ internet,HOSE,,,,
110,FRT,CTCP Bán lẻ Kỹ thuật số FPT,Cửa hàng thiết bị điện tử gia đình,HOSE,,,,
111,FTM,CTCP Đầu tư và Phát triển Đức Quân,"Sản xuất sợi, vải",HOSE,,,,
112,FTS,CTCP Chứng khoán FPT,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
113,FUCTVGF1,Quỹ đầu tư Tăng trưởng TVAM,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,,,,
114,FUCTVGF2,Quỹ Đầu tư tăng trưởng Thiên Việt 2,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,,,,
115,FUCVREIT,Quỹ đầu tư Bất động sản Techcom Việt Nam,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,,,,
116,FUESSV50,Quỹ ETF SSIAM VNX50,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,,,,
117,FUESSVFL,Quỹ ETF SSIAM VNFIN LEAD,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,,,,
118,FUEVFVND,Quỹ ETF VFMVN DIAMOND,"Quỹ, Quỹ tín thác và các công cụ tài chính khác",HOSE,,,,
119,GAB,CTCP Đầu tư Khai Khoáng và Quản lý Tài sản FLC,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
120,GAS,Tổng Công ty Khí Việt Nam - CTCP,Phân phối khí đốt thiên nhiên,HOSE,,,,
121,GDT,CTCP Chế biến Gỗ Đức Thành,Sản xuất trang thiết bị nội thất và sản phẩm liên quan,HOSE,,,,
122,GEG,CTCP Điện Gia Lai,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
123,GEX,Tổng Công ty cổ phần Thiết bị Điện Việt Nam,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
124,GIL,CTCP Sản xuất Kinh doanh và Xuất nhập khẩu Bình Thạnh,Sản xuất các sản phẩm may mặc,HOSE,,,,
125,GMC,CTCP Garmex Sài Gòn,Sản xuất các sản phẩm may mặc,HOSE,,,,
126,GMD,CTCP Gemadept,Hỗ trợ vận tải,HOSE,,,,
127,GSP,CTCP Vận tải Sản Phẩm Khí Quốc tế,Vận tải đường thủy,HOSE,,,,
128,GTA,CTCP Chế biến gỗ Thuận An,Sản xuất các sản phẩm gỗ,HOSE,,,,
129,GTN,CTCP GTNFoods,Sản xuất thực phẩm,HOSE,,,,
130,GVR,Tập đoàn Công nghiệp Cao su Việt Nam - CTCP,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
131,HAG,CTCP Hoàng Anh Gia Lai,Trồng trọt,HOSE,,,,
132,HAH,CTCP Vận tải và Xếp dỡ Hải An,Hỗ trợ vận tải,HOSE,,,,
133,HAI,CTCP Nông dược H.A.I,Bán buôn hàng tiêu dùng,HOSE,,,,
134,HAP,CTCP Tập đoàn Hapaco,Sản xuất giấy,HOSE,,,,
135,HAR,CTCP Đầu tư Thương mại Bất động sản An Dương Thảo Điền,Bất động sản,HOSE,,,,
136,HAS,CTCP Hacisco,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
137,HAX,CTCP Dịch vụ Ô tô Hàng Xanh,Bán lẻ xe hơi và phụ tùng,HOSE,,,,
138,HBC,CTCP Tập đoàn Xây dựng Hòa Bình,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
139,HCD,CTCP Đầu tư Sản xuất và Thương mại HCD,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
140,HCM,CTCP Chứng khoán Thành phố Hồ Chí Minh,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
141,HDB,Ngân hàng TMCP Phát triển TPHCM,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
142,HDC,CTCP Phát triển Nhà Bà Rịa - Vũng Tàu,Phát triển bất động sản,HOSE,,,,
143,HDG,CTCP Tập đoàn Hà Đô,Phát triển bất động sản,HOSE,,,,
144,HHS,CTCP Đầu tư Dịch vụ Hoàng Huy,Bán buôn hàng lâu bền,HOSE,,,,
145,HID,CTCP Halcom Việt Nam,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
146,HII,CTCP An Tiến Industries,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
147,HMC,CTCP Kim khí Thành phố Hồ Chí Minh - Vnsteel,Bán buôn hàng lâu bền,HOSE,,,,
148,HNG,CTCP Nông nghiệp Quốc tế Hoàng Anh Gia Lai,Trồng trọt,HOSE,,,,
149,HOT,CTCP Du lịch Dịch vụ Hội An,Khách sạn và phòng ở,HOSE,,,,
150,HPG,CTCP Tập đoàn Hòa Phát,Sản xuất các sản phẩm kim loại cơ bản,HOSE,,,,
151,HPX,CTCP Đầu tư Hải Phát,Phát triển bất động sản,HOSE,,,,
152,HQC,CTCP Tư vấn Thương mại Dịch vụ Địa Ốc Hoàng Quân,Phát triển bất động sản,HOSE,,,,
153,HRC,CTCP Cao su Hòa Bình,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
154,HSG,CTCP Tập đoàn Hoa Sen,Sản xuất các sản phẩm kim loại cơ bản,HOSE,,,,
155,HSL,CTCP Chế biến Nông sản Hồng Hà Sơn La,Trồng trọt,HOSE,,,,
156,HT1,CTCP Xi măng Hà Tiên 1,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
157,HTI,CTCP Đầu tư Phát triển Hạ tầng IDICO,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
158,HTL,CTCP Kỹ thuật và Ôtô Trường Long,Bán buôn hàng lâu bền,HOSE,,,,
159,HTN,CTCP Hưng Thịnh Incons,Nhà thầu chuyên môn,HOSE,,,,
160,HTT,CTCP Thương mại Hà Tây,Bất động sản,HOSE,,,,
161,HTV,CTCP Vận tải Hà Tiên,Vận tải đường thủy,HOSE,,,,
162,HU1,CTCP Đầu tư và Xây dựng HUD1,Phát triển bất động sản,HOSE,,,,
163,HU3,CTCP Đầu tư và Xây dựng HUD3,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
164,HUB,CTCP Xây lắp Thừa Thiên Huế,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
165,HVG,CTCP Hùng Vương,Sản xuất thực phẩm,HOSE,,,,
166,HVH,CTCP Đầu tư và Công nghệ HVC,Nhà thầu chuyên môn,HOSE,,,,
167,HVN,Tổng Công ty Hàng không Việt Nam - CTCP,Vận tải hàng không,HOSE,,,,
168,HVX,CTCP Xi măng VICEM Hải Vân,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
169,IBC,CTCP Đầu tư Apax Holdings,"Dịch vụ tư vấn quản lý, khoa học và kỹ thuật",HOSE,,,,
170,ICT,CTCP Viễn thông - Tin học Bưu điện,Viễn thông,HOSE,,,,
171,IDI,CTCP Đầu tư và Phát triển Đa Quốc Gia - IDI,Sản xuất thực phẩm,HOSE,,,,
172,IJC,CTCP Phát triển Hạ tầng Kỹ thuật,Phát triển bất động sản,HOSE,,,,
173,ILB,CTCP ICD Tân Cảng - Long Bình,Kho bãi,HOSE,,,,
174,IMP,CTCP Dược phẩm Imexpharm,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
175,ITA,CTCP Đầu tư và Công nghiệp Tân Tạo,Bất động sản,HOSE,,,,
176,ITC,CTCP Đầu tư và Kinh doanh Nhà,Phát triển bất động sản,HOSE,,,,
177,ITD,CTCP Công nghệ Tiên Phong,Viễn thông,HOSE,,,,
178,JVC,CTCP Thiết bị Y tế Việt Nhật,Bán buôn hàng lâu bền,HOSE,,,,
179,KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc - CTCP,Bất động sản,HOSE,,,,
180,KDC,CTCP Tập đoàn KIDO,Sản xuất thực phẩm,HOSE,,,,
181,KDH,CTCP Đầu tư và Kinh doanh Nhà Khang Điền,Phát triển bất động sản,HOSE,,,,
182,KHP,CTCP Điện lực Khánh Hòa,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
183,KMR,CTCP Mirae,Sản xuất các sản phẩm dệt,HOSE,,,,
184,KOS,CTCP KOSY,Bất động sản,HOSE,,,,
185,KPF,CTCP Đầu tư Tài chính Hoàng Minh,"Kiến trúc, tư vấn xây dựng và dịch vụ liên quan",HOSE,,,,
186,KSB,CTCP Khoáng sản và Xây dựng Bình Dương,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
187,L10,CTCP Lilama 10,Nhà thầu chuyên môn,HOSE,,,,
188,LAF,CTCP Chế biến hàng Xuất khẩu Long An,Sản xuất thực phẩm,HOSE,,,,
189,LBM,CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng,Sản xuất sản phẩm khoáng chất phi kim,HOSE,,,,
190,LCG,CTCP Licogi 16,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
191,LCM,CTCP Khai thác và Chế biến khoáng sản Lào Cai,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
192,LDG,CTCP Đầu tư LDG,Bất động sản,HOSE,,,,
193,LEC,CTCP Bất động sản Điện lực Miền Trung,"Xây dựng nhà cửa, cao ốc",HOSE,,,,
194,LGC,CTCP Đầu tư Cầu đường CII,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
195,LGL,CTCP Đầu tư và Phát triển Đô thị Long Giang,Bất động sản,HOSE,,,,
196,LHG,CTCP Long Hậu,Bất động sản,HOSE,,,,
197,LIX,CTCP Bột Giặt Lix,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
198,LM8,CTCP Lilama 18,Nhà thầu chuyên môn,HOSE,,,,
199,LMH,CTCP Landmark Holding,Bán buôn hàng tiêu dùng,HOSE,,,,
200,LSS,CTCP Mía Đường Lam Sơn,Sản xuất thực phẩm,HOSE,,,,
201,MBB,Ngân hàng TMCP Quân Đội,Trung gian tín dụng và các hoạt động liên quan,HOSE,,,,
202,MCG,CTCP Cơ điện và Xây dựng Việt Nam,"Sản xuất thiết bị, máy móc",HOSE,,,,
203,MCP,CTCP In và Bao bì Mỹ Châu,Sản xuất sản phẩm kim loại tổng hợp,HOSE,,,,
204,MDG,CTCP Miền Đông,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
205,MHC,CTCP MHC,Vận tải đường thủy,HOSE,,,,
206,MSH,CTCP May Sông Hồng,Sản xuất các sản phẩm may mặc,HOSE,,,,
207,MSN,CTCP Tập đoàn Masan,Sản xuất thực phẩm,HOSE,,,,
208,MWG,CTCP Đầu tư Thế giới Di động,Cửa hàng thiết bị điện tử gia đình,HOSE,,,,
209,NAF,CTCP Nafoods Group,Sản xuất thực phẩm,HOSE,,,,
210,NAV,CTCP Nam Việt,"Kinh doanh vật liệu xây dựng, trang thiết bị làm vườn",HOSE,,,,
211,NBB,CTCP Đầu tư Năm Bảy Bảy,Phát triển bất động sản,HOSE,,,,
212,NCT,CTCP Dịch vụ Hàng hóa Nội Bài,Hỗ trợ vận tải,HOSE,,,,
213,NHH,CTCP Nhựa Hà Nội,"Sản xuất thiết bị, máy móc",HOSE,,,,
214,NKG,CTCP Thép Nam Kim,Sản xuất các sản phẩm kim loại cơ bản,HOSE,,,,
215,NLG,CTCP Đầu tư Nam Long,Phát triển bất động sản,HOSE,,,,
216,NNC,CTCP Đá Núi Nhỏ,Khai khoáng (ngoại trừ dầu mỏ và khí đốt),HOSE,,,,
217,NSC,CTCP Tập đoàn Giống cây trồng Việt Nam,Trồng trọt,HOSE,,,,
218,NT2,CTCP Điện lực Dầu khí Nhơn Trạch 2,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
219,NTL,CTCP Phát triển Đô thị Từ Liêm,Phát triển bất động sản,HOSE,,,,
220,NVL,CTCP Tập đoàn Đầu tư Địa ốc No Va,Phát triển bất động sản,HOSE,,,,
221,NVT,CTCP Bất động sản Du lịch Ninh Vân Bay,Khách sạn và phòng ở,HOSE,,,,
222,OGC,CTCP Tập đoàn Đại Dương,"Môi giới chứng khoán, hàng hóa, đầu tư tài chính khác và các hoạt động liên quan",HOSE,,,,
223,OPC,CTCP Dược phẩm OPC,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
224,PAC,CTCP Pin Ắc quy Miền Nam,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
225,PAN,CTCP Tập đoàn Pan,Sản xuất thực phẩm,HOSE,,,,
226,PC1,CTCP Xây lắp Điện I,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
227,PDN,CTCP Cảng Đồng Nai,Hỗ trợ vận tải,HOSE,,,,
228,PDR,CTCP Phát triển Bất động sản Phát Đạt,Phát triển bất động sản,HOSE,,,,
229,PET,Tổng Công ty cổ phần Dịch vụ Tổng hợp Dầu khí,Bán buôn hàng lâu bền,HOSE,,,,
230,PGC,Tổng Công ty Gas Petrolimex - CTCP,Phân phối khí đốt thiên nhiên,HOSE,,,,
231,PGD,CTCP Phân phối khí thấp áp Dầu khí Việt Nam,Phân phối khí đốt thiên nhiên,HOSE,,,,
232,PGI,Tổng Công ty cổ phần Bảo hiểm Petrolimex,Bảo hiểm và các hoạt động liên quan,HOSE,,,,
233,PHC,CTCP Xây dựng Phục Hưng Holdings,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
234,PHR,CTCP Cao su Phước Hòa,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
235,PIT,CTCP Xuất nhập khẩu Petrolimex,Bán buôn hàng tiêu dùng,HOSE,,,,
236,PJT,CTCP Vận tải Xăng dầu đường Thủy Petrolimex,Vận tải đường thủy,HOSE,,,,
237,PLP,CTCP Sản xuất và Công nghệ Nhựa Pha Lê,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
238,PLX,Tập đoàn Xăng Dầu Việt Nam,Bán buôn hàng tiêu dùng,HOSE,,,,
239,PME,CTCP Pymepharco,"Sản xuất hóa chất, dược phẩm",HOSE,,,,
240,PMG,CTCP Đầu tư và Sản xuất Petro Miền Trung,Bán buôn hàng tiêu dùng,HOSE,,,,
241,PNC,CTCP Văn hóa Phương Nam,Bán lẻ hàng hóa khác,HOSE,,,,
242,PNJ,CTCP Vàng bạc Đá quý Phú Nhuận,Sản xuất sản phẩm kim loại tổng hợp,HOSE,,,,
243,POM,CTCP Thép Pomina,Sản xuất các sản phẩm kim loại cơ bản,HOSE,,,,
244,POW,Tổng Công ty Điện lực Dầu khí Việt Nam - CTCP,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
245,PPC,CTCP Nhiệt điện Phả Lại,"Phát, truyền tải và phân phối điện năng",HOSE,,,,
246,PSH,CTCP Thương mại Đầu tư Dầu khí Nam Sông Hậu,Bán buôn hàng tiêu dùng,HOSE,,,,
247,PTB,CTCP Phú Tài,Bán buôn hàng lâu bền,HOSE,,,,
248,PTC,CTCP Đầu tư và Xây dựng Bưu điện,Nhà thầu chuyên môn,HOSE,,,,
249,PTL,CTCP Đầu tư Hạ tầng và Đô thị Dầu khí,Bất động sản,HOSE,,,,
250,PVD,Tổng Công ty cổ phần Khoan và Dịch vụ khoan Dầu khí,Các hoạt động hỗ trợ Khai khoáng,HOSE,,,,
251,PVT,Tổng Công ty cổ phần Vận tải Dầu khí,Vận tải đường thủy,HOSE,,,,
252,PXI,CTCP Xây dựng Công nghiệp và Dân dụng Dầu khí,Phát triển bất động sản,HOSE,,,,
253,PXS,CTCP Kết cấu Kim loại và Lắp máy Dầu khí,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
254,PXT,CTCP Xây lắp Đường ống Bể chứa Dầu khí,Xây dựng công nghiệp nặng và dân dụng,HOSE,,,,
255,QBS,CTCP Xuất nhập khẩu Quảng Bình,Bán buôn hàng tiêu dùng,HOSE,,,,
256,QCG,CTCP Quốc Cường Gia Lai,Phát triển bất động sản,HOSE,,,,
257,RAL,CTCP Bóng đèn Phích nước Rạng Đông,"Sản xuất trang thiết bị, dụng cụ điện",HOSE,,,,
258,RDP,CTCP Rạng Đông Holding,Sản xuất các sản phẩm nhựa và cao su,HOSE,,,,
